Unnamed: 0,대륙,국가,사업명,사업형태,발주처,수행기간,사업비(억원),분야,형태,사업명(영문),경평용,단계
0,아프리카,DR콩고,DR콩고 수력발전댐 재개발 예비타당성조사 용역 , 수주사업(FREK),FREK,’09.03 ~ ’09.06,2.1,수자원,F/S,Dam redevelopment feasibility study, 수주사업(FREK),완료
1,아프리카,DR콩고 ,DR콩고 이디오파지역 식수개발사업 기본계획수립,ODA,KOICA,’12.12 ~ ’13.05,3.6,수도,기본계획,The Projec for Water supply and sanitation in the territory of Idiofa,ODA,완료
2,아시아,남아시아,남아시아 SWM 기술지원 사업,ODA,ADB,’16.01～’20.12,31.0,수도,기술지원,ADB Promoting Smart Drinking Water Management in South Asian Cities,ODA,완료
3,아시아,네팔,차멜리야 수력발전소 실시설계 사업,ODA,KOICA,’00.07 ~ ’02.01,7.7,수자원,실시설계,Chameliya Hydroelectric Project,ODA,완료
4,아시아,네팔,(물시장) 둘리캘시 스마트 물관리 시스템 도입 연구방안 조사용역,수주사업(환경부),,,,,,,수주사업(환경부),완료
5,아시아,동티모르,태양광을 이용한 담수생산 및 공급사업 긴급복구 및 보수계획 수립 용역,ODA,KOICA, ’15.07∼’16.07,1.0,기타,기술지원,Emergency Restoring for Water Supply System powered by Solar Energy in East Timor,ODA,완료
6,아시아,라오스,볼리칸군 7개마을 식수개발사업 PMC,ODA,KOICA,’07.12 ~ ’09.12,5.0,수도,PMC,Bolikhan Small Town Water Supply and Sanitation in Bolikhamsai Province,ODA,완료
7,아시아,라오스,세방파이군 상수도 공급 및 위생개선 사업,ODA,KOICA,’10.11 ~ ’12.07,3.5,수도,PMC,"Water Supply and Sanitation Project in Xebangfay, Khammouane Province",ODA,완료
8,아시아,라오스,우돔사이주 싸이군 식수공급사업 PMC,ODA,KOICA,’13.08 ~ ’16.03,7.0,수도,PMC,"Xai District Water Supply Project, Oudomxai Province",ODA,완료
9,아시아,라오스,남능강 유역 통합수자원관리 마스터플랜 수립사업 PMC,ODA,KOICA, ’16.12.~’19.05.,25.38,수자원,MP,Master Plan of Integrated Water Resources Management for Nam Ngum River Basin in Lao PDR,ODA,완료
10,아시아,라오스,메콩강유역 치수종합 MP 수립,ODA,KOICA,’15.03 ~ ’16.01,7.1,수자원,MP,The Master Plan for Integrated Flood Management in the Mekong River,ODA,완료
11,아시아,라오스,(그린ODA)기후적응형 홍수 예경보시스템 구축사업,ODA,,,,,,,ODA,진행
12,아프리카,르완다,나바롱고강 식수개발 타당성조사사업 PMC,ODA,KOICA,’07.07 ~ ’08.10,4.3,수자원,F/S,Feasibility Study Of Water Development in Nyabarongo River,ODA,완료
13,아프리카,르완다,냐가타레 수자원개발 F/S 및 PMC,ODA,KOICA,’13.12 ~ ’16.02,17.0,수자원,"F/S, PMC","Feasibility Study and Detailed Design of Nyagatare Water Resources Development Project, Water Supply for Humans and Livestock",ODA,완료
14,아시아,말레이시아,코타키나발루 스마트 물관리 기본구상 수립 용역,ODA,국토교통부,’19.08～’20.02,2.0,수도,기본계획,"Basic plan for smart water management project in Kota Kinabalu, Malaysia",ODA,완료
15,아시아,말레이시아,클랑 역사 스마트도시 재생 마스터플랜 수립 및 사전타당성 조사,수주사업(KIND),,,,,,,수주사업(KIND),완료
16,아시아,말레이시아 ,(물시장)스마트 물관리 시장진출을 위한 마스터플랜 수립,수주사업(환경부),,,,,,,수주사업(환경부),진행
17,아프리카,모로코,모로코 세부강 유역 홍수방지 마스터플랜,ODA,KOICA,’16.01 ~ ’18.02,11.5,수자원,MP,"Flood Proteciton and Control Master Plan in Sebou River Basin, Morocco",,완료
18,아프리카,모잠비크,모잠비크 수자원관리 마스터플랜 수립 PM용역,ODA,KOICA,’15.12 ~ ’18.02,11.5,수자원,MP,Development of Master Plan for Water Resources Management in Mozambique,ODA,완료
19,아시아,몽골,식수개발 사업,ODA,KOICA,’05.12 ~ ’07.02,5.0,수도,PMC,The Project for Construction of New Water Wells in Mongolia,ODA,완료
20,아시아,몽골,울란바타르시 용수공급 및 수자원이용 효율화 PMC,ODA,KOICA,’11.03 ~ ’14.03,13.4,수도,PMC,Project for the Development of New Water Supply Sources for the Yarmag Area of Ulaanbaatar,ODA,완료
21,아시아,미얀마,에야와디강 수자원 M/P수립,ODA,KOICA,’13.11 ~ ’14.11,9.0,수자원,MP,Master Plan of Water Resources Development in Ayeyawaddy River,ODA,완료
22,오세아니아,바누아투 ,바누아투 수자원조사사업 ,ODA,KOICA,’96.10 ~ ’97.07,,수자원,조사,"Survey for Water Resources, Vanuatu",ODA,완료
23,아시아,방글라데시,치타공 상하수도관리 마스터플랜수립 사업 ,ODA,KOICA,’07.09 ~ ’09.07,8.3,수도,MP,The Preparation of Master Plan for Water Supply and Wastewater Management for the detailed planned area of Chittagong,ODA,완료
24,아시아,방글라데시,DWASA 교육연구센터 건립사업 F/S 용역,ODA,,,,,,,ODA,완료
25,아시아,방글라데시,(대행)다카시 스마트물관리를 위한 스마트미터 선정 및 구축 시범사업,ODA,,,,,,,ODA,진행
26,아시아,베트남,끼엔장성 우밍 및 빙빙남지역 식수개발사업 PMC,ODA,KOICA,’08.01 ~ ’10.07,22.0,수도,PMC,The Project for Water Supply and Sanitation in Kien Giang Province,ODA,완료
