구분,명칭,유의어
국가,보츠와나,보츠와나
국가,우크라이나,우크라이나
국가,대한민국,대한민국
국가,나이지리아,나이지리아
국가,네덜란드,네덜란드
국가,미국,미국
국가,스웨덴,스웨덴
국가,스위스,스위스
국가,인도네시아,인도네시아
국가,일본,일본
국가,태국,태국
국가,프랑스,프랑스
국가,필리핀,필리핀
국가,사우디,사우디
국가,바레인,바레인
국가,벨기에,벨기에
국가,카타르,카타르
국가,방글라데시,방글라데시
국가,싱가포르,싱가포르
국가,중국,중국
국가,영국,영국
국가,조지아,조지아
국가,파키스탄,파키스탄
국가,호주,호주
국가,라오스,라오스
국가,말레이시아,말레이시아
국가,몽골,몽골
국가,미얀마,미얀마
국가,베트남,베트남
국가,캄보디아,캄보디아
국가,네팔,네팔
국가,스페인,스페인
국가,우즈베키스탄,우즈베키스탄
국가,그리스,그리스
국가,브라질,브라질
국가,싱가폴,싱가폴
국가,아랍에미레이트,아랍에미레이트
국가,이집트,이집트
국가,이탈리아,이탈리아
국가,인도,인도
국가,케냐,케냐
국가,코펜하겐,코펜하겐
국가,키르기즈공화국,키르기즈공화국
국가,타지키스탄,타지키스탄
국가,터키,터키
국가,도쿄,도쿄
국가,룩셈부르크,룩셈부르크
국가,뉴질랜드,뉴질랜드
소속,AAWC,아시아 국회의원 물협의회
소속,HELP,HELP
소속,Saudi,사우디
소속,UN 총회의장단,UN 총회의장단
소속,Ukraine,우크라이나
소속,AWC,아시아 물협의회
소속,한메콩센터,한메콩센터
소속,국제협력,국제협력
소속,조지아 넨스크라 수력발전 사업,조지아 넨스크라 수력발전 사업
소속,Patrind 수력발전,Patrind 수력발전
소속,솔로몬 티나 수력발전,솔로몬 티나 수력발전
소속,대한민국 국회,대한민국 국회
소속,Governments,정부
소속,MDBs & ECAs,다자개발은행 및 수출신용기관
소속,International Organizations & Civil Society,국제기구 및 시민사회
소속,Academia & Research Organizations,학계 및 연구 기관
소속,대사관,대사관
소속,National Congress,국가 의회
소속,AWC 사무국 이사 ,아시아 물협의회 사무국 이사
소속,Enterprises,기업
소속,Public Organizations,공공기관
소속,공공기관 등,공공기관 등
소속,국제기구 및 NGO,국제기구 및 NGO
소속,기업체,기업체
소속,민간기업,민간기업
소속,연구기관 및 대학,연구기관 및 대학
소속,정부기관,정부기관
소속,지방자치단체,지방자치단체
소속,국내기관,국내기관
소속,해외정부,해외정부
소속,국제기구,국제기구
소속,해외기관,해외기관
소속,한국수출입은행,한국수출입은행
소속,KOICA,한국국제협력단
소속,Financial,금융
소속,Legal ,법률
소속,Legal-Local,법률-로컬
소속,Technical,기술
소속,E&S,환경 및 사회
소속,Insurance,보험
소속,Tax,세금
소속,Legal,법률
소속,Legal-local,법률-로컬
소속,Model Auditor,모델 감사
소속,상임위원,상임위원
소속," Ministry of Water Resources and Irrigation, the Arab Republic of Egypt",이집트 아랍 공화국 수자원 및 관개부
소속,"Ministry of Infrastructure and Water Management, Kingdom of the Netherlands",네덜란드 왕국 인프라 및 수자원 관리부
소속,"World Bank Water Global Practice, the World Bank","세계은행 물 글로벌 실무 그룹, 세계은행"
소속,U.S. Army Corps of Engineers,미국 육군 공병단
소속,World Meteorological Organization (WMO),세계기상기구 (WMO)
소속,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),유엔 아시아태평양 경제사회위원회 (UNESCAP)
소속,Global Water Partnership ,국제 물 파트너십
소속,UN Office for Disaster Risk Reduction (UNDRR),유엔 재난 위험 감소 사무국 (UNDRR)
소속,"Ministry of Public Works and Housing,  the Republic of Indonesia","공공 작업 및 주택부, 인도네시아 공화국"
소속,Network of Asian River Basin Organizations (NARBO),아시아 강 유역 조직 네트워크 (NARBO)
소속,Minister of Public Works and Housing (MPWH),공공사업 및 주택 장관 (MPWH)
소속,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT), the Japan","일본 토지, 인프라, 교통 및 관광부 (MLIT)"
소속,Japan International Cooperation Agency (JICA),일본 국제 협력 기구 (JICA)
소속, International Centre for Water Hazard and Risk Management (ICHARM),국제 수해 및 위험 관리 센터 (ICHARM)
소속,Scientific Committee International Lake Environment Committee Foundation (ILEC),과학위원회 국제호수환경위원회 재단 (ILEC)
소속,"Board of Trustees, Asian Institute of Technology (AIT)","이사회, 아시안 기술 연구소 (AIT)"
소속,World Water Council (WWC),세계물위원회 (WWC)
소속,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",유엔 교육과학문화기구 (유네스코)
소속,"Public Governance, The Organisation for Economic Co-operation and Development (OECD)","공공 거버넌스, 경제 협력 개발 기구 (OECD)"
소속,Asian Development Bank (ADB),아시안 개발 은행 (ADB)
소속,"Sectors and Themes, Asian Development Bank (ADB)",아시아개발은행(ADB) 부문 및 주제
소속,"Strategy and Partnerships, Water and Urban Development Sector Office, ADB",아시아개발은행(ADB) 물 및 도시 개발 부문 전략 및 파트너십 사무소
소속,"Agriculture Food Nature and Rural Development Sector Office, ADB",아시아개발은행(ADB) 농업 식품 자연 및 농촌 개발 부문 사무소
소속,"Ministry of Environment, water, and Agriculture","환경, 물, 농업부"
소속,President of the General Assembly 77th session,77차 총회 의장
소속,Office of the President of the General Assembly,일반 총회 회장의 사무실
소속,Haya Rashed Al Khalifa,하야 라쉬드 알 칼리파
소속,EU,유럽연합(EU)
소속,President of the General Assembly 66th session,제66차 유엔 총회 의장
소속,주한 우크라이나 대사관,주한 우크라이나 대사관
소속,Bucha city Council,부차 시의회
소속,"The State Agency for Restoration and
Infrastructure Development of Ukraine",우크라이나 복구 및 인프라 개발 국가청
소속,Ministry of environment Protection and Natural Resources of Ukraine,우크라이나 환경보호 및 자연자원부
소속,Kherson Regional Military Administration,헤르손 주 군사 행정청
소속,Kyiv city council,키이우 시의회
소속,National Congress,국회
소속,Cabinet of Ministers of Ukraine,우크라이나 장관회의
소속,Uman City Council,우만 시의회
소속,Ukrhydroenergo,우크라이나 수력발전 회사
소속,Deltares,델타레스(네덜란드의 물과 지하환경 연구소)
소속,Colorado State University (CSU),콜로라도 주립 대학교 (CSU)
소속,Community Welfare Foundation (CWF),지역 복지 재단 (CWF)
소속,University of Geneva (UNIGE),제네바 대학교 (UNIGE)
소속,National University of Singapore_Tropical Marine Science Institute (NUS_TMSI),싱가포르 국립대학교_열대해양과학연구소 (NUS_TMSI)
소속,Indonesia Water Institute (IWI),인도네시아 물 연구소 (IWI)
소속,Indonesian Association of Hydraulic Engineers (IAHE),인도네시아 유압 엔지니어 협회 (IAHE)
소속,Tokyo City University (TCU),도쿄도시대학 (TCU)
소속,University of Tokyo (UTokyo),도쿄 대학교 (UTokyo)
소속,Changjiang River Scientific Research Institute (CRSRI) ,장강 과학 연구원 (CRSRI)
소속,Chinese Hydraulic Engineering Society (CHES),중국 수력 공학회 (CHES)
소속,Hohai University (HHU),호하이 대학교 (HHU)
소속,Institute of Water Resources and Hydropower Research (IWHR),물자원 및 수력 연구소 (IWHR)
